OBJECTID;planid;name;datum;scanurl;kategorie;katart;klassifins;Bezeichnun;URL2;X_ETRS89;Y_ETRS89;kurzbe
1;DE_05911000_A395;An der Jahrhunderthalle;1996-08-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A395.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A395.jpg;374905;5704937;Dampfgebläsehalle, Wasserhochbehaelter, Laufkran
2;DE_05911000_A563;Alleestr. 146;2003-07-21;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A563.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A563.jpg;374685;5704528;Zentrallager, Mewes-Halle
3;DE_05911000_A354;Am Bergbaumuseum 28;1995-08-18;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A354.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A354.jpg;376166;5705702;Deutsches Bergbaumuseum
4;DE_05911000_A457;Blankenstreiner Str.;1998-04-30;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A457.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A457.jpg;374343;5698869;RADOM
5;DE_05911000_A599;Castroper Str. 67;2005-05-11;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A599.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A599.jpg;376952;5705300;Planetarium
6;DE_05911000_A001;Dr.-C.-Otto-Str. 191;1984-01-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A001.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A001.jpg;369762;5699632;Eisenbahnmuseum Teil I
7;DE_05911000_A190;Dr.-C.-Otto-Str. 191 N;1991-02-26;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A190.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A190.jpg;369612;5699632;Eisenbahnmuseum Teil II
8;DE_05911000_A346;Eichenweg 33;1995-07-18;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A346.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A346.jpg;377213;5700784;Maschinenhaus
9;DE_05911000_A051;Emil-Weitz-Str.;1989-04-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A051.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A051.jpg;370034;5705298;Zeche Holland-Förderturm
10;DE_05911000_A454;Gußstahlstr.;1998-03-18;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A454.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A454.jpg;375120;5705166;Halle
11;DE_05911000_A039;Hannoverstr. -;1989-04-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A039.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A039.jpg;372645;5707562;Zeche Hannover
12;DE_05911000_A036;Hattinger Str. 467;1989-04-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A036.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A036.jpg;374364;5700548;Wasserhochbehaelter
13;DE_05911000_A462;Geoergstr. 9;1998-06-24;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A462.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A462.jpg;373744;5706237;Foerderturm Zeche Carolinenglueck
14;DE_05911000_A330;Lothringer Str. 38;1995-02-09;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A330.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A330.jpg;380857;5708954;Maschinenhaus Zeche Lothringen
15;DE_05911000_A051;Lyrenstr. 13;1989-04-17;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A051.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A051.jpg;370098;5705313;Zeche Holland
16;DE_05911000_A004;Markstr. 258 a;1987-07-07;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A004.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A004.jpg;377386;5701234;Malakoff-Turm
17;DE_05911000_A383;Polterberg 10;1996-05-13;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A383.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A383.jpg;372253;5699855;ehem. Maschinenhaus Zeche Hasenwinkel
18;DE_05911000_A154;Von-Waldthausen-Str. 79 N;1990-08-31;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A154.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A154.jpg;381935;5705336;Foerderturm Zeche Robert Mueser
19;DE_05911000_A182;Somborner Str.;1990-12-28;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A182.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A182.jpg;384857;5705722;Koksofenfundamente
20;DE_05911000_A476;Brockhauser Str. 126;1999-01-29;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A476.pdf;DSchG NRW;1000;3000;Technik;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A476.jpg;376721;5697821;Stollenmundloch und Betriebsgebaeude
21;DE_05911000_B001;Brockhauser Str. 72;1998-02-11;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/B001.pdf;DSchG NRW;4000;2000;Bodendenkmal;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/B001.jpg;377271;5697606;Dorfkirche Stiepel und Kirchhof
22;DE_05911000_B002;Im Lottental;2004-05-13;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/B002.pdf;DSchG NRW;4000;2000;Bodendenkmal;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/B002.jpg;379885;5700222;Steinbruch Klosterbusch
23;DE_05911000_B003;Schloßstr.;2008-10-24;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/B003.pdf;DSchG NRW;4000;2000;Bodendenkmal;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/B003.jpg;374202;5701146;ehemaliger Adelssitz Weitmar
24;DE_05911000_B004;An der Alten Faehre;2013-02-20;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/B004.pdf;DSchG NRW;4000;2000;Bodendenkmal;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/B004.jpg;377371;5697223;Geländeschnitt um einen ehealigen Steinbruch am Ruhrufer in Bochum
