name,str_hausnr,plz_ort,kategorie,hauptkateg,beschreib,url,bedeutung,prioritaet,poi_id,angelegt,geaendert,qstatus_id,coll_id,coll_pfad,coll_desc,ma_darst,ma_sign,sammlung,samm_pfad
Amtmann-Kreyenfeld-Schule,Kreyenfeldstraße 80,44894 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.amtmann-kreyenfeld-schule.de/,"3","1","151",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Anne-Frank-Schule,Heinrichstraße 2,44805 Bochum,Realschulen,Bildung,Städtische Realschule im Schulzentrum Gerthe,www.anne-frank-rs-bochum.de/,"3","1","152",2009/06/05,2020/08/04,"3","10",Bildung/Allgemeinbildende Schulen/Realschulen,,"1",61101150XESchuleAllgemeinRealschule,,
Annette-von-Droste-Hülshoff-Schule,Lohring 22,44789 Bochum,Realschulen,Bildung,"Städtische Realschule, pädagogische Übermittagsbetreuung",www.annette.bobi.net,"3","1","153",2009/06/05,2020/08/04,"3","10",Bildung/Allgemeinbildende Schulen/Realschulen,,"1",61101150XESchuleAllgemeinRealschule,,
Astrid-Lindgren-Schule,Lindener Straße 28,44879 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.astrid-lindgren-schule-bochum.de,"3","1","155",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Berufsfachschule für medizinisch-technische Assistenten,In der Schornau 23,44892 Bochum,Schulen im Gesundheitsbereich,Bildung,am Universitätsklinik Knappschaftskrankenhaus Bochum GmbH,www.kk-bochum.de/de/Mitarbeiter_Karriere/MTA-Schule/index.php?highmain=4&highsub=0&highsubsub=0,"3","1","157",2009/06/05,2018/10/24,"3","54",Bildung/Berufsschulen/Schulen im Gesundheitsbereich,"Schulen im Bereich des Gesundheitswesens: Krankenpflege-, Logopäden-, Heilpraktiker-, Hebammenschulen etc.","1",61201200XEWeiterbildungFachschule,,
"Alice-Salomon-Berufskolleg für Ernährung, Erziehung und Gesundheit",Akademiestraße 46-48,44789 Bochum,Berufskollegs,Bildung,"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium",www.alice-salomon-berufskolleg.de,"3","1","158",2009/06/05,2020/08/05,"3","151",Bildung/Berufsschulen/Berufskollegs,,"1",61201000XEWeiterbildungBerufsschule,,
"Alice-Salomon-Berufskolleg für Ernährung, Erziehung und Gesundheit",Akademiestraße 46-48,44789 Bochum,Berufsbildende Schulen,Bildung,"Schule für Ernährung, Erziehung und Gesundheit, Berufliche Schulen und Berufliches Gymnasium",www.alice-salomon-berufskolleg.de,"3","2","158",2009/06/05,2020/08/05,"3","31",Bildung/Berufsschulen/Berufsbildende Schulen,Berufsbildende Schulen allgemein,"1",61201000XEWeiterbildungBerufsschule,,
Klaus-Steilmann-Berufskolleg,Westenfelder Straße 88,44867 Bochum,Berufskollegs,Bildung,"Kaufmännische Schule der Stadt Bochum, Berufs-, Berufsfach- und Fachoberschule für Wirtschaft und Verwaltung",www.klaus-steilmann-berufskolleg.de/,"3","1","160",2009/06/05,2020/08/05,"3","151",Bildung/Berufsschulen/Berufskollegs,,"1",61201000XEWeiterbildungBerufsschule,,
Klaus-Steilmann-Berufskolleg,Westenfelder Straße 88,44867 Bochum,Berufsbildende Schulen,Bildung,"Kaufmännische Schule der Stadt Bochum, Berufs-, Berufsfach- und Fachoberschule für Wirtschaft und Verwaltung",www.klaus-steilmann-berufskolleg.de/,"3","2","160",2009/06/05,2020/08/05,"3","31",Bildung/Berufsschulen/Berufsbildende Schulen,Berufsbildende Schulen allgemein,"1",61201000XEWeiterbildungBerufsschule,,
Berufskolleg der Stadt Bochum Technische Beruflichle Schule 1,Ostring 25,44787 Bochum,Berufsbildende Schulen,Bildung,"Technische Berufs-, Berufsfach-, Höhere Berufsfach-, Fach- und Fachoberschule",www.tbs1.de,"3","2","161",2009/06/05,2020/08/05,"3","31",Bildung/Berufsschulen/Berufsbildende Schulen,Berufsbildende Schulen allgemein,"1",61201000XEWeiterbildungBerufsschule,,
Berufskolleg der Stadt Bochum Technische Beruflichle Schule 1,Ostring 25,44787 Bochum,Berufskollegs,Bildung,"Technische Berufs-, Berufsfach-, Höhere Berufsfach-, Fach- und Fachoberschule",www.tbs1.de,"3","1","161",2009/06/05,2020/08/05,"3","151",Bildung/Berufsschulen/Berufskollegs,,"1",61201000XEWeiterbildungBerufsschule,,
"Walter-Gropius-Berufskolleg, Hauptgebäude",Ostring 27,44787 Bochum,Berufsbildende Schulen,Bildung,"Technische Schule der Stadt Bochum, Berufs-, Berufsfach-, Fach- und Fachoberschule, Berufliches Gymnasium",www.wg-bo.de/,"3","2","162",2009/06/05,2020/08/05,"3","31",Bildung/Berufsschulen/Berufsbildende Schulen,Berufsbildende Schulen allgemein,"1",61201000XEWeiterbildungBerufsschule,,
"Walter-Gropius-Berufskolleg, Hauptgebäude",Ostring 27,44787 Bochum,Berufskollegs,Bildung,"Technische Schule der Stadt Bochum, Berufs-, Berufsfach-, Fach- und Fachoberschule, Berufliches Gymnasium",www.wg-bo.de/,"3","1","162",2009/06/05,2020/08/05,"3","151",Bildung/Berufsschulen/Berufskollegs,,"1",61201000XEWeiterbildungBerufsschule,,
